Gm01	glyma.Wm82_ISU01.gnm2.Gm01
Gm02	glyma.Wm82_ISU01.gnm2.Gm02
Gm03	glyma.Wm82_ISU01.gnm2.Gm03
Gm04	glyma.Wm82_ISU01.gnm2.Gm04
Gm05	glyma.Wm82_ISU01.gnm2.Gm05
Gm06	glyma.Wm82_ISU01.gnm2.Gm06
Gm07	glyma.Wm82_ISU01.gnm2.Gm07
Gm08	glyma.Wm82_ISU01.gnm2.Gm08
Gm09	glyma.Wm82_ISU01.gnm2.Gm09
Gm10	glyma.Wm82_ISU01.gnm2.Gm10
Gm11	glyma.Wm82_ISU01.gnm2.Gm11
Gm12	glyma.Wm82_ISU01.gnm2.Gm12
Gm13	glyma.Wm82_ISU01.gnm2.Gm13
Gm14	glyma.Wm82_ISU01.gnm2.Gm14
Gm15	glyma.Wm82_ISU01.gnm2.Gm15
Gm16	glyma.Wm82_ISU01.gnm2.Gm16
Gm17	glyma.Wm82_ISU01.gnm2.Gm17
Gm18	glyma.Wm82_ISU01.gnm2.Gm18
Gm19	glyma.Wm82_ISU01.gnm2.Gm19
Gm20	glyma.Wm82_ISU01.gnm2.Gm20
