# BUSCO version is: 5.4.3 
# The lineage dataset is: fabales_odb10 (Creation date: 2020-08-05, number of genomes: 10, number of BUSCOs: 5366)
# Busco id	Status	Sequence	Score	Length
4at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045358.3	8606.2	4668
4at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G018355.1	8469.2	4704
5at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031016.1	7803.8	3818
6at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020535.1	7657.1	3755
7at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002254.1	7995.8	3577
7at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031346.1	7924.6	3589
9at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031755.1	6826.3	3315
19at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015568.2	5740.2	2830
19at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G009958.1	5709.7	2835
21at72025	Missing
22at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037942.1	5820.7	3042
23at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_16G046962.1	5198.4	2788
25at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_10G030523.1	4672.1	2328
27at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002955.1	4605.6	2154
27at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G030674.2	4566.1	2158
29at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008952.1	4877.2	2357
29at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056436.1	4848.5	2355
32at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G018521.1	4461.9	2219
32at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045525.1	4253.0	2172
34at72025	Missing
37at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015368.2	4559.7	2183
41at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G050468.1	4514.8	2369
46at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021897.1	4454.5	2305
47at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G053995.1	4372.2	1946
47at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031212.1	4361.2	1946
48at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_06G016571.1	3887.7	1835
51at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G034253.1	3968.8	1928
51at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G033319.2	3967.8	1928
53at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_04G011742.1	4294.5	2120
57at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G023945.1	4177.2	2259
57at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G051219.1	4006.8	2259
64at72025	Missing
66at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G013621.1	3751.1	1986
66at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021676.1	3711.3	1987
70at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G022018.1	4202.6	1899
70at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G013956.1	3944.4	1856
71at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_05G011998.2	3499.1	1750
72at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G036397.1	4065.8	1962
72at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G041383.1	4044.5	1962
73at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G049626.1	3764.2	2357
76at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G053567.3	3694.3	1804
82at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G044991.1	3726.1	1732
82at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038683.1	3686.4	1741
86at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G049668.1	3709.1	1838
