# BUSCO version is: 5.4.3 
# The lineage dataset is: fabales_odb10 (Creation date: 2020-08-05, number of genomes: 10, number of BUSCOs: 5366)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
4at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	2859913	2910467	+	8225.9	4698
4at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr16	266996	325303	+	8181.7	4663
5at72025	Complete	glyma.Hwangkeum.gnm1.Chr11	2853161	2907578	+	7521.0	3770
6at72025	Complete	glyma.Hwangkeum.gnm1.Chr07	39087119	39142372	-	7567.5	3744
7at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr01	48550765	48587488	-	7884.8	3588
7at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr11	5741149	5772357	+	7921.6	3576
9at72025	Complete	glyma.Hwangkeum.gnm1.Chr11	9350559	9365354	-	6821.5	3315
19at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr04	8528671	8584630	+	5606.4	2854
19at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr06	7750534	7791506	+	5527.8	2781
21at72025	Complete	glyma.Hwangkeum.gnm1.Chr04	39655011	39749162	+	5074.6	2680
22at72025	Complete	glyma.Hwangkeum.gnm1.Chr13	29663270	29709181	+	5736.1	3058
23at72025	Complete	glyma.Hwangkeum.gnm1.Chr16	29811009	29853992	-	5054.6	2717
25at72025	Complete	glyma.Hwangkeum.gnm1.Chr10	48820651	48833246	-	4682.6	2323
27at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr01	54617233	54665151	+	4317.6	2113
27at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr11	135020	173441	-	4411.3	2161
29at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr03	44035292	44060695	-	4500.5	2305
29at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr19	46762133	46790422	-	4594.3	2354
32at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	4783087	4798942	+	4407.3	2219
32at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr16	2175930	2192925	+	4079.7	2078
34at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr05	1140584	1159193	-	4776.7	2232
34at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	9589238	9605822	-	4814.1	2226
37at72025	Complete	glyma.Hwangkeum.gnm1.Chr06	5786587	5813691	-	4226.8	2124
41at72025	Complete	glyma.Hwangkeum.gnm1.Chr18	1134001	1152608	+	4344.7	2321
46at72025	Complete	glyma.Hwangkeum.gnm1.Chr08	8592116	8612644	-	4437.4	2305
47at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr11	4590638	4612564	+	4128.6	1886
47at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr19	5179901	5212796	+	4272.1	1950
48at72025	Complete	glyma.Hwangkeum.gnm1.Chr06	18773296	18840629	-	3807.3	1882
51at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr11	36494469	36524627	-	3926.2	1928
51at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr12	7062776	7085491	+	3894.2	1928
53at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr04	44858796	44871051	-	4274.4	2120
53at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr06	10913091	10926771	+	4013.5	2051
57at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr08	39303001	39316361	+	4173.1	2259
57at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr18	9964035	9978704	+	4021.8	2259
64at72025	Complete	glyma.Hwangkeum.gnm1.Chr15	86628	110744	-	3275.0	1891
66at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr05	30779865	30803452	+	3781.7	1987
66at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr08	6533374	6550932	+	3686.3	1987
70at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr05	34084830	34106051	+	4078.8	1900
70at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr08	9656509	9675761	+	3955.0	1900
71at72025	Complete	glyma.Hwangkeum.gnm1.Chr05	238037	276564	-	3239.2	1674
72at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	10492200	10501405	-	4056.1	1962
72at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr14	27972918	27982193	-	4037.4	1962
73at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr14	20568608	20579693	+	3620.6	2399
73at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	29623639	29634807	+	3761.2	2359
76at72025	Complete	glyma.Hwangkeum.gnm1.Chr18	55112184	55157139	-	3586.1	1844
82at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	37280449	37295814	+	3416.1	1709
82at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr15	41146425	41168360	-	3490.6	1677
86at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr14	18389970	18490034	-	3703.7	1828
86at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	31252044	31297766	-	3324.0	1723
90at72025	Complete	glyma.Hwangkeum.gnm1.Chr19	2350163	2361321	+	3573.7	1856
92at72025	Complete	glyma.Hwangkeum.gnm1.Chr14	22834113	22861551	-	3457.0	1701
94at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr03	28050344	28083735	+	3706.5	1922
94at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	14573754	14597643	-	3700.7	1916
95at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr04	1062161	1080135	+	3743.5	1774
95at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr06	1030865	1051845	+	3717.3	1779
99at72025	Complete	glyma.Hwangkeum.gnm1.Chr03	34405152	34459577	-	3230.1	1632
100at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr09	42056676	42073681	-	3604.1	1797
100at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr12	181267	201661	+	3677.2	1812
103at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	29216408	29229826	-	3281.4	1850
103at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr19	942244	955494	-	3335.2	1846
105at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr02	44405069	44432410	-	3173.0	1586
105at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr14	4663102	4693699	+	3099.5	1585
107at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr08	38357680	38394278	-	2780.4	1599
107at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr08	38449550	38473121	+	3001.4	1579
107at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr18	12270404	12295814	+	3162.2	1642
109at72025	Complete	glyma.Hwangkeum.gnm1.Chr03	42949497	42964185	-	3009.8	1638
110at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr02	26191690	26207740	+	3263.2	1719
110at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr09	21029414	21044587	-	3269.8	1724
111at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	15718829	15731710	-	3221.9	1716
111at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr18	40833972	40846488	-	3149.2	1711
112at72025	Complete	glyma.Hwangkeum.gnm1.Chr06	28397051	28450806	+	3236.0	1686
113at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr01	53031484	53051970	-	3134.0	1652
113at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr11	1686275	1703768	+	3167.1	1620
116at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr06	46405060	46410153	-	3284.6	1550
116at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr12	11147941	11152842	+	3238.8	1505
118at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr02	36801495	36815560	+	3570.4	1885
118at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr10	9848909	9874017	+	3692.4	1935
121at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	35740031	35745391	-	3248.7	1571
121at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr15	5688931	5694327	+	3275.7	1571
128at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	23292156	23307441	-	3062.4	1611
128at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	3261151	3277781	+	3197.1	1589
133at72025	Complete	glyma.Hwangkeum.gnm1.Chr17	2868523	2880427	+	3200.4	1823
134at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr04	7401341	7412431	+	3263.4	1706
134at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr06	6911698	6922718	+	3227.6	1705
139at72025	Complete	glyma.Hwangkeum.gnm1.Chr12	1784525	1806284	+	3318.0	1766
143at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr03	33554150	33581308	+	3229.2	1459
143at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr19	36253342	36292376	+	3269.2	1452
144at72025	Complete	glyma.Hwangkeum.gnm1.Chr14	2794032	2818007	-	3325.3	1647
147at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr02	13570709	13582351	-	3273.2	1700
147at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	35998079	36009252	+	3172.3	1706
155at72025	Complete	glyma.Hwangkeum.gnm1.Chr17	12182898	12227641	-	2963.4	1569
157at72025	Complete	glyma.Hwangkeum.gnm1.Chr19	41660283	41694339	+	2875.2	1486
163at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr02	28045957	28085713	+	3065.0	1657
163at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr09	18662743	18687766	-	2988.7	1679
165at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr02	14129023	14142815	+	2865.6	1398
165at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	35312613	35323801	-	2844.2	1403
169at72025	Complete	glyma.Hwangkeum.gnm1.Chr09	25156525	25177289	+	3021.7	1449
172at72025	Complete	glyma.Hwangkeum.gnm1.Chr02	41934355	41950860	-	3352.6	1708
175at72025	Complete	glyma.Hwangkeum.gnm1.Chr02	40602741	40615608	-	2961.2	1444
176at72025	Complete	glyma.Hwangkeum.gnm1.Chr06	9515442	9537569	+	1833.3	862
183at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	31823084	31837856	+	3045.1	2009
183at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr15	38980545	38995348	-	3085.6	2004
185at72025	Complete	glyma.Hwangkeum.gnm1.Chr15	46063613	46114727	-	2712.7	1397
186at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	23208331	23217403	+	2896.7	1580
186at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	3347880	3357165	-	2914.2	1513
187at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	4225450	4237968	-	2966.2	1521
187at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr16	1603587	1615838	-	2949.3	1517
188at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr09	3091609	3111725	+	2788.9	1440
188at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr15	11742999	11767037	+	2642.7	1442
204at72025	Complete	glyma.Hwangkeum.gnm1.Chr04	4634701	4654007	+	2705.1	1447
206at72025	Complete	glyma.Hwangkeum.gnm1.Chr10	24276861	24299921	-	2682.2	1454
211at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr05	2678184	2686453	+	2735.1	1435
211at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	7509668	7517718	-	2668.0	1439
213at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	15955193	15974832	+	2995.5	1530
213at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr19	3542501	3556887	-	2953.1	1548
217at72025	Complete	glyma.Hwangkeum.gnm1.Chr08	7617209	7627310	+	2904.6	1654
219at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr12	36895698	36903252	+	2324.2	1322
219at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	38318771	38326144	-	2714.4	1545
225at72025	Complete	glyma.Hwangkeum.gnm1.Chr20	1950889	1972205	-	2586.6	1219
231at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr09	34581548	34602529	-	2501.4	1206
231at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr16	35625871	35646073	-	2595.9	1261
233at72025	Complete	glyma.Hwangkeum.gnm1.Chr19	378789	391088	-	3016.7	1641
234at72025	Complete	glyma.Hwangkeum.gnm1.Chr05	5593213	5604362	-	3229.1	1997
237at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr09	10104366	10197257	-	2798.2	1475
237at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr15	20985789	21039760	-	2775.7	1477
238at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr13	27922838	27957695	-	2802.1	1386
238at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr17	8169607	8191102	-	2768.5	1419
240at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr04	10789598	10798989	-	3156.8	1802
240at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr06	8621479	8631454	-	3180.8	1911
250at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr07	2337173	2347349	-	2340.2	1357
250at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr08	17344343	17354449	+	2347.9	1349
252at72025	Duplicated	glyma.Hwangkeum.gnm1.Chr10	43413638	43422061	-	2585.4	1350
